# condition agf theoryagf
1.000000000000000048e-04 1.029205322265625000e-02 1.000000000000000021e-02
3.727593720314937870e-04 1.937103271484375000e-02 1.930697728883249559e-02
1.389495494373137402e-03 3.730010986328125000e-02 3.727593720314939518e-02
5.179474679231212825e-03 7.196807861328125000e-02 7.196856730011520764e-02
1.930697728883249559e-02 1.389541625976562500e-01 1.389495494373137463e-01
7.196856730011513825e-02 2.682876586914062500e-01 2.682695795279724793e-01
2.682695795279724793e-01 5.180130004882812500e-01 5.179474679231210743e-01
1.000000000000000000e+00 1.000144958496093750e+00 1.000000000000000000e+00
