# condition agf theoryagf
1.000000000000000048e-04 1.332855224609375000e-02 1.333333333333333245e-02
3.727593720314937870e-04 2.574920654296875000e-02 2.574263638510999180e-02
1.389495494373137402e-03 4.970550537109375000e-02 4.970124960419919358e-02
5.179474679231212825e-03 9.595489501953125000e-02 9.595808973348693427e-02
1.930697728883249559e-02 1.852645874023437500e-01 1.852660659164183099e-01
7.196856730011513825e-02 3.577041625976562500e-01 3.576927727039632687e-01
2.682695795279724793e-01 6.906204223632812500e-01 6.905966238974947657e-01
1.000000000000000000e+00 1.333442687988281250e+00 1.333333333333333259e+00
