# condition p00 p01 p11 ref1 ref2
1.000000000000000048e-04 4.434274947360216084e-05 6.665571727136093000e-03 4.999999851629919889e-01 6.666666666666666227e-03 4.444444444444444657e-05
3.727593720314937870e-04 1.653993429522063673e-04 1.287110792610793135e-02 4.999999995544078812e-01 1.287131819255499590e-02 1.656708320139972266e-04
1.389495494373137402e-03 6.167403296586548194e-04 2.485047051179239616e-02 4.999999620830785640e-01 2.485062480209959679e-02 6.175535530547277344e-04
5.179474679231212825e-03 2.301508062231840193e-03 4.797861643396941073e-02 4.999999452419349733e-01 4.797904486674346713e-02 2.301988746324983622e-03
1.930697728883249559e-02 8.582809258953771891e-03 9.263188394359779532e-02 5.000000185481966453e-01 9.263303295820915495e-02 8.580878795036665091e-03
7.196856730011513825e-02 3.198729587714592426e-02 1.788440782027444498e-01 5.000000133896169707e-01 1.788463863519816344e-01 3.198602991116228367e-02
2.682695795279724793e-01 1.192292347970323463e-01 3.452932189768558313e-01 5.000000131217169352e-01 3.452983119487473829e-01 1.192309242346544368e-01
1.000000000000000000e+00 4.444056934772806500e-01 6.666360579607354397e-01 5.000000791351247864e-01 6.666666666666666297e-01 4.444444444444444198e-01
